Features,0,1,2,3,4,Scores
h_mean,104,93.0,88.0,80.0,79.0,50
aspect_major,132,116.0,116.0,109.0,86.0,97
slope_mean,82,75.0,107.0,96.0,73.0,44
pop,85,103.0,105.0,84.0,108.0,68
int_prim_sec,133,111.0,116.0,113.0,92.0,104
int_sec,113,95.0,105.0,82.0,104.0,72
highway,95,79.0,96.0,75.0,83.0,42
prim_road,137,109.0,124.0,125.0,89.0,108
sec_road,102,94.0,106.0,72.0,85.0,56
farm_pigs,102,100.0,114.0,107.0,87.0,74
farm_poultry,96,87.0,98.0,65.0,74.0,40
farm_sheep,99,86.0,81.0,71.0,69.0,36
ndvi,105,105.0,102.0,127.0,131.0,90
temp_2m,207,132.0,171.0,147.0,158.0,143
press,209,149.0,195.0,163.0,118.0,144
e_wind,87,65.0,60.0,108.0,139.0,56
aod_047,74,187.0,47.0,201.0,178.0,105
nh3_cams,200,117.0,54.0,108.0,134.0,98
no_cams,110,176.0,188.0,153.0,168.0,137
co_cams,119,194.0,114.0,152.0,187.0,141
pm10_cams,174,181.0,198.0,115.0,184.0,151
pm25_cams,161,106.0,194.0,113.0,129.0,118
no2_cams,113,163.0,113.0,124.0,147.0,115
nmvocs_cams,114,105.0,91.0,84.0,88.0,70
so2_cams,117,78.0,104.0,80.0,64.0,50
o3_cams,119,88.0,162.0,136.0,140.0,110
no2_int,73,97.0,123.0,63.0,168.0,73
nox_int,83,78.0,136.0,175.0,87.0,80
o3_int,144,189.0,78.0,129.0,203.0,129
pm10_int,209,155.0,203.0,188.0,193.0,169
pm25_int,189,179.0,200.0,182.0,147.0,159
so2_int,130,187.0,173.0,69.0,145.0,118
air_hum_int,213,147.0,141.0,,138.0,115
rad_glob_int,178,139.0,197.0,,90.0,106
temp_int,162,,110.0,,,51
wind_speed_int,92,,,,,11
